Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-03-02T22:42:17.711Z,49.52,PLN,49.52,PLN,49.52,PLN
order,2026-03-02T22:39:07.273Z,47.62,PLN,47.62,PLN,47.62,PLN
order,2026-03-02T21:16:21.031Z,81.22,PLN,81.22,PLN,81.22,PLN
order,2026-03-02T18:06:57.100Z,82.29,PLN,82.29,PLN,82.29,PLN
order,2026-03-02T11:57:18.510Z,45.72,PLN,45.72,PLN,45.72,PLN
order,2026-03-02T11:46:43.282Z,75.66,PLN,75.66,PLN,75.66,PLN
order,2026-03-02T11:33:58.301Z,45.80,PLN,45.80,PLN,45.80,PLN
order,2026-03-02T10:30:51.661Z,22.38,PLN,22.38,PLN,22.38,PLN
order,2026-03-02T09:44:23.893Z,170.08,PLN,170.08,PLN,170.08,PLN
order,2026-03-02T08:37:56.340Z,75.66,PLN,75.66,PLN,75.66,PLN
order,2026-03-02T07:28:54.948Z,114.30,PLN,114.30,PLN,114.30,PLN
order,2026-03-01T15:37:50.766Z,47.62,PLN,47.62,PLN,47.62,PLN
order,2026-03-01T14:59:21.627Z,76.06,PLN,76.06,PLN,76.06,PLN
order,2026-03-01T12:04:04.380Z,23.30,PLN,23.30,PLN,23.30,PLN
order,2026-03-01T01:05:52.065Z,54.01,PLN,54.01,PLN,54.01,PLN
order,2026-02-28T13:16:49.469Z,55.29,PLN,55.29,PLN,55.29,PLN
order,2026-02-28T11:25:43.712Z,51.60,PLN,51.60,PLN,51.60,PLN
order,2026-02-27T21:00:32.565Z,54.99,PLN,54.99,PLN,54.99,PLN
order,2026-02-27T10:20:53.220Z,55.81,PLN,55.81,PLN,55.81,PLN
order,2026-02-26T16:51:27.261Z,49.42,PLN,49.42,PLN,49.42,PLN
order,2026-02-26T14:45:46.429Z,75.66,PLN,75.66,PLN,75.66,PLN
order,2026-02-26T09:43:52.894Z,107.84,PLN,107.84,PLN,107.84,PLN
order,2026-02-26T09:09:39.473Z,58.22,PLN,58.22,PLN,58.22,PLN
order,2026-02-26T07:21:39.990Z,57.15,PLN,57.15,PLN,57.15,PLN
order,2026-02-26T05:16:49.286Z,29.95,PLN,29.95,PLN,29.95,PLN
order,2026-02-26T04:29:42.521Z,52.30,PLN,52.30,PLN,52.30,PLN
order,2026-02-25T16:44:45.124Z,70.48,PLN,70.48,PLN,70.48,PLN
order,2026-02-25T12:53:20.191Z,68.90,PLN,68.90,PLN,68.90,PLN
order,2026-02-25T12:26:25.325Z,62.92,PLN,62.92,PLN,62.92,PLN
order,2026-02-25T12:22:46.430Z,47.69,PLN,47.69,PLN,47.69,PLN
order,2026-02-25T08:26:07.546Z,49.49,PLN,49.49,PLN,49.49,PLN
order,2026-02-25T08:14:20.686Z,49.85,PLN,49.85,PLN,49.85,PLN
order,2026-02-24T22:59:45.687Z,45.68,PLN,45.68,PLN,45.68,PLN
order,2026-02-24T21:36:25.453Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2026-02-24T18:20:08.310Z,106.24,PLN,106.24,PLN,106.24,PLN
order,2026-02-24T15:06:27.310Z,22.38,PLN,22.38,PLN,22.38,PLN
order,2026-02-24T14:21:51.894Z,47.19,PLN,47.19,PLN,47.19,PLN
order,2026-02-24T11:48:17.722Z,116.16,PLN,116.16,PLN,116.16,PLN
order,2026-02-24T08:11:19.836Z,65.74,PLN,65.74,PLN,65.74,PLN
order,2026-02-24T07:55:59.782Z,53.75,PLN,53.75,PLN,53.75,PLN
order,2026-02-24T00:55:42.793Z,76.14,PLN,76.14,PLN,76.14,PLN
order,2026-02-23T21:49:48.196Z,68.40,PLN,68.40,PLN,68.40,PLN
order,2026-02-23T21:45:23.098Z,35.74,PLN,35.74,PLN,35.74,PLN
order,2026-02-23T16:11:59.191Z,48.46,PLN,48.46,PLN,48.46,PLN
order,2026-02-23T14:30:57.968Z,126.70,PLN,126.70,PLN,126.70,PLN
order,2026-02-23T13:31:18.144Z,59.96,PLN,59.96,PLN,59.96,PLN
order,2026-02-23T13:20:51.308Z,56.59,PLN,56.59,PLN,56.59,PLN
order,2026-02-22T22:51:30.116Z,45.91,PLN,45.91,PLN,45.91,PLN
order,2026-02-22T20:37:12.242Z,77.98,PLN,77.98,PLN,77.98,PLN
order,2026-02-22T19:40:09.561Z,57.05,PLN,57.05,PLN,57.05,PLN
order,2026-02-22T17:13:45.192Z,48.60,PLN,48.60,PLN,48.60,PLN
order,2026-02-22T17:05:46.278Z,182.00,PLN,182.00,PLN,182.00,PLN
order,2026-02-22T13:41:32.059Z,47.28,PLN,47.28,PLN,47.28,PLN
order,2026-02-22T13:35:49.569Z,103.19,PLN,103.19,PLN,103.19,PLN
order,2026-02-21T23:15:40.621Z,48.19,PLN,48.19,PLN,48.19,PLN
order,2026-02-21T20:35:56.066Z,61.34,PLN,61.34,PLN,61.34,PLN
order,2026-02-21T12:23:21.233Z,97.65,PLN,97.65,PLN,97.65,PLN
order,2026-02-21T11:00:50.990Z,59.37,PLN,59.37,PLN,59.37,PLN
order,2026-02-20T18:52:08.938Z,67.38,PLN,67.38,PLN,67.38,PLN
order,2026-02-20T11:02:00.367Z,50.69,PLN,50.69,PLN,50.69,PLN

Type,LineItemId,OfferId,OfferExternalId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,fb8ed040-1688-11f1-999d-d75d03a17912,15574362921,"BSAL","Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",4,12.38,PLN,,
lineItem,65594ab1-1688-11f1-bdbd-ebdd5b7a7824,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,11.43,PLN,,
lineItem,65594ab0-1688-11f1-bdbd-ebdd5b7a7824,15574362921,"BSAL","Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",2,12.38,PLN,,
lineItem,f919a801-167c-11f1-908a-754904b32d8c,15574362870,"NCDAR","Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",1,18.39,PLN,,
lineItem,f919a802-167c-11f1-908a-754904b32d8c,17713034969,,"EQUILIBRA Aloesowy Żel do kąpieli 400ml",1,21.99,PLN,,
lineItem,f919a804-167c-11f1-908a-754904b32d8c,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,11.43,PLN,,
lineItem,f919a803-167c-11f1-908a-754904b32d8c,15574362921,"BSAL","Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,12.38,PLN,,
lineItem,f919a800-167c-11f1-908a-754904b32d8c,15574362775,"SHTE","Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.03,PLN,,
lineItem,36d26440-1662-11f1-823d-19c467064390,17914189539,,"Krem przeciwzmarszczkowy wypełniający z kolagenem roślinnym EQUILIBRA 50ml",1,43.25,PLN,,
lineItem,36d26441-1662-11f1-823d-19c467064390,17914211881,,"Serum liftingujące przeciw zmarszczkom z kolagenem roślinnym 30ml EQUILIBRA",1,39.04,PLN,,
lineItem,e2f379f1-162e-11f1-b6eb-ddeda34902b5,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",4,11.43,PLN,,
lineItem,5beeebc0-162d-11f1-93d4-ab6bbc90c785,16804364795,,"Krem przeciwstarzeniowy do twarzy 50ml Equilibra Vitaminica",2,37.83,PLN,,
lineItem,a731f571-162b-11f1-96ff-e51d03f95a93,17713034969,,"EQUILIBRA Aloesowy Żel do kąpieli 400ml",1,21.99,PLN,,
lineItem,a731f572-162b-11f1-96ff-e51d03f95a93,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,11.43,PLN,,
lineItem,a731f570-162b-11f1-96ff-e51d03f95a93,15574362921,"BSAL","Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,12.38,PLN,,
lineItem,a9b61e60-1622-11f1-9d5f-cd7c156c83d6,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",1,11.43,PLN,,
lineItem,4ffc82c0-161c-11f1-b6eb-ddeda34902b5,17388976805,,"Equilibra Aloe Maska z kwasem hialuronowym 450ml",2,41.39,PLN,,
lineItem,4ffc82c2-161c-11f1-b6eb-ddeda34902b5,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",4,11.43,PLN,,
lineItem,4ffc82c1-161c-11f1-b6eb-ddeda34902b5,15574823922,"SHAG","Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",2,20.79,PLN,,
lineItem,f8eb7940-1612-11f1-83ba-df46b1f9cb1b,16804364795,,"Krem przeciwstarzeniowy do twarzy 50ml Equilibra Vitaminica",2,37.83,PLN,,
lineItem,7049fd90-1609-11f1-96ff-e51d03f95a93,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",10,11.43,PLN,,
lineItem,7e412161-1584-11f1-900f-a14dfe25fe66,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,11.43,PLN,,
lineItem,7e412160-1584-11f1-900f-a14dfe25fe66,15574362921,"BSAL","Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",2,12.38,PLN,,
lineItem,232c4611-157f-11f1-900f-a14dfe25fe66,15574362473,"CDERG","Arganowy żel do kąpieli 400 ml",1,17.09,PLN,,
lineItem,232c4610-157f-11f1-900f-a14dfe25fe66,17869502704,,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",3,11.43,PLN,,
lineItem,232c4613-157f-11f1-900f-a14dfe25fe66,15574925122,"CSV","Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,,
lineItem,232c4612-157f-11f1-900f-a14dfe25fe66,15574925173,"CSCAL","Mydło nagietkowe 100g Equilibra",1,12.99,PLN,,
lineItem,73cd2df3-1566-11f1-94f7-b702ea687b7c,15574823991,"NCDB","Pasta do zębów wybielająca – żel aloesowy 75 ml",1,12.35,PLN,,
lineItem,c7321342-150a-11f1-9d5f-cd7c156c83d6,15574925393,"NCQRO","Odświeżająca czysta woda różana 200ml",1,10.30,PLN,,
lineItem,c7321340-150a-11f1-9d5f-cd7c156c83d6,15574824015,"NCDS","Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,17.09,PLN,,
lineItem,c7321341-150a-11f1-9d5f-cd7c156c83d6,15574362818,"SHRO","Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.13,PLN,,
